state_fips,state_abbr,state_name,vehicle_impound_law,impound_trigger,impound_mandatory,impound_duration_days,vehicle_forfeiture_law,forfeiture_trigger,plate_impound_law,source_note
01,AL,Alabama,yes,repeat_or_suspended,discretionary,,yes,repeat_conviction,no,"AL Code § 32-5A-191; NHTSA DOT HS 811 028B"
02,AK,Alaska,yes,all_dui_arrest,discretionary,,yes,repeat_conviction,no,"AK Stat § 28.35.030; admin impound at arrest"
04,AZ,Arizona,yes,extreme_or_aggravated,mandatory,20,yes,repeat_conviction,no,"ARS § 28-3511(C); mandatory 20-day impound for extreme (BAC≥.15) or aggravated DUI"
05,AR,Arkansas,no,,,,,repeat_conviction,no,"No statutory vehicle impound for DUI; forfeiture for 4th+ offense"
06,CA,California,yes,all_dui_conviction,mandatory,30,yes,repeat_conviction,no,"CA VC § 23592-23594; up to 30 days 1st offense, up to 90 days repeat"
08,CO,Colorado,yes,repeat_or_high_bac,discretionary,,yes,repeat_conviction,no,"CO Rev Stat § 42-4-1301; impound at court discretion"
09,CT,Connecticut,yes,dui_while_suspended,mandatory,48,no,,no,"CGS § 14-227h; mandatory 48-hour impound if license suspended"
10,DE,Delaware,no,,,,no,,no,"No statutory vehicle impound specifically for DUI"
11,DC,District of Columbia,yes,all_dui_arrest,mandatory,,yes,repeat_conviction,no,"DC Code § 50-2201.05; vehicle subject to impound upon DUI arrest"
12,FL,Florida,yes,repeat_conviction,mandatory,10,yes,repeat_conviction,no,"FL Stat § 316.193(6)(d); 10-day mandatory immobilization for 2nd offense"
13,GA,Georgia,no,,,,yes,repeat_conviction,yes,"GA Code § 40-6-391; special plates for repeat offenders; no impound law"
15,HI,Hawaii,no,,,,no,,no,"No statutory vehicle impound for DUI"
16,ID,Idaho,no,,,,no,,no,"No statutory vehicle impound for DUI"
17,IL,Illinois,yes,repeat_or_suspended,discretionary,,yes,statutory_summary_suspension,no,"625 ILCS 5/11-501.1; vehicle seizure for DUI while suspended"
18,IN,Indiana,no,,,,yes,repeat_conviction,no,"IC § 9-30-10; forfeiture authorized for repeat offenders"
19,IA,Iowa,yes,repeat_or_suspended,mandatory,,yes,repeat_conviction,yes,"IA Code § 321J.4B; plate impound and vehicle seizure for repeat"
20,KS,Kansas,no,,,,no,,no,"No statutory vehicle impound for DUI"
21,KY,Kentucky,no,,,,no,,no,"No statutory vehicle impound for DUI"
22,LA,Louisiana,yes,repeat_conviction,mandatory,,yes,repeat_conviction,no,"LA RS 32:661.1; vehicle seizure for 3rd+ DUI within 10 years"
23,ME,Maine,yes,all_dui_arrest,mandatory,,no,,no,"29-A MRS § 2521; vehicle seized at arrest pending bail"
24,MD,Maryland,yes,repeat_or_suspended,discretionary,,no,,no,"MD Transp Code § 16-303.1; impound for driving while suspended"
25,MA,Massachusetts,no,,,,no,,no,"No statutory vehicle impound for DUI"
26,MI,Michigan,yes,repeat_conviction,mandatory,,yes,repeat_conviction,no,"MCL § 257.625n; vehicle immobilization/forfeiture for repeat DUI"
27,MN,Minnesota,yes,all_dui_arrest,mandatory,,yes,repeat_conviction,yes,"MN Stat § 169A.60; plate impound at arrest; vehicle forfeiture for repeat"
28,MS,Mississippi,no,,,,no,,no,"No statutory vehicle impound for DUI"
29,MO,Missouri,no,,,,no,,no,"No statutory vehicle impound for DUI"
30,MT,Montana,no,,,,no,,no,"No statutory vehicle impound for DUI"
31,NE,Nebraska,yes,repeat_or_suspended,mandatory,,no,,no,"NE Rev Stat § 60-4164; impound for driving while suspended DUI"
32,NV,Nevada,no,,,,no,,no,"No statutory vehicle impound for DUI"
33,NH,New Hampshire,no,,,,no,,no,"No statutory vehicle impound for DUI"
34,NJ,New Jersey,yes,repeat_conviction,mandatory,,yes,repeat_conviction,no,"NJ Stat § 39:4-50(a); vehicle forfeiture for 3rd+ offense"
35,NM,New Mexico,yes,aggravated_or_repeat,mandatory,,yes,repeat_conviction,no,"NM Stat § 66-8-102; vehicle seizure for aggravated DUI or repeat"
