state_fips,state_abbr,state_name,region,division,pop_2024,traffic_fatalities_2024,impaired_fatalities_fars_raw,alcohol_fatalities_nhtsa_imputed,total_fatalities_nhtsa,pct_impaired_fars_raw,pct_alcohol_nhtsa_imputed,high_bac_fatalities_2024,pct_high_bac_2024,total_fatality_rate_per_100k,alcohol_fatality_rate_per_100k,pct_bac_known_killed,pct_bac_known_all_drivers,pct_bac_known_surviving,pct_blood_test,mandatory_testing_law,testing_scope,testing_authority,checkpoints_permitted,no_refusal_status,no_refusal_active,pbt_authorized,iid_mandate,iid_all_offender,felony_dui_threshold,has_felony_dui,lookback_years,high_bac_threshold,has_high_bac_penalty,open_container_compliant,allows_oral_fluid,als_alr_enacted,testing_methods,criminal_refusal_penalty,bac_limit,first_offense_felony,vehicle_impound_law,impound_trigger,impound_mandatory,vehicle_forfeiture_law,forfeiture_trigger,plate_impound_law,has_mandatory_impound
01,AL,Alabama,South,East South Central,5157699,962,128,277,962,13.31,29,179,19,18.65,5.37,58.4,41.1,22.7,88.0,no,probable_cause,law_enforcement,1,authorized,0,1,mandatory_high_bac_repeat,0,4.0,1,10,0.15,1,1,1,1,"Blood, Oral Fluids, and Breath",0,0.08,0.0,yes,repeat_or_suspended,discretionary,yes,repeat_conviction,no,0
02,AK,Alaska,West,Pacific,740133,70,11,13,70,15.71,19,8,11,9.46,1.76,57.9,57.7,57.6,83.3,no,probable_cause,law_enforcement,0,authorized,0,1,mandatory_all,1,3.0,1,15,,0,0,0,1,"Blood, Urine",1,0.08,0.0,yes,all_dui_arrest,discretionary,yes,repeat_conviction,no,0
04,AZ,Arizona,West,Mountain,7582384,1229,240,419,1229,19.53,34,285,23,16.21,5.53,49.8,28.9,15.4,46.2,no,probable_cause,law_enforcement,1,active,1,1,mandatory_all,1,3.0,1,7,0.15,1,1,1,1,"Blood, Urine, Oral Fluids",0,0.08,0.0,yes,extreme_or_aggravated,mandatory,yes,repeat_conviction,no,1
05,AR,Arkansas,South,West South Central,3088354,603,61,154,603,10.12,26,109,18,19.52,4.99,75.8,65.8,54.8,81.3,yes,all_fatally_injured,coroner,1,authorized,0,0,mandatory_all,1,4.0,1,10,,0,0,1,1,"Blood, Oral Fluids, Urine and Breath",0,0.08,1.0,no,,,,repeat_conviction,no,0
06,CA,California,West,Pacific,39431263,3876,924,1311,3876,23.84,34,912,24,9.83,3.32,47.9,28.1,16.2,77.6,yes,all_fatally_injured,coroner,1,authorized,0,1,discretionary,0,4.0,1,10,0.15,1,1,0,1,"Blood, Urine",1,0.08,0.0,yes,all_dui_conviction,mandatory,yes,repeat_conviction,no,1
08,CO,Colorado,West,Mountain,5957493,689,207,204,689,30.04,30,143,21,11.57,3.42,87.3,46.1,13.9,84.5,yes,all_fatally_injured,coroner,1,authorized,0,1,mandatory_all,1,4.0,1,99,0.15,1,1,1,1,"Blood, Urine, Oral Fluids",0,0.08,0.0,yes,repeat_or_high_bac,discretionary,yes,repeat_conviction,no,0
09,CT,Connecticut,Northeast,New England,3675069,310,112,105,310,36.13,34,76,24,8.44,2.86,94.7,51.0,16.9,34.4,yes,serious_injury_or_fatal,law_enforcement,1,not_authorized,0,0,mandatory_all,1,2.0,1,10,,0,0,0,1,"Blood, Urine, and Breath",0,0.08,1.0,yes,dui_while_suspended,mandatory,no,,no,1
10,DE,Delaware,South,South Atlantic,1051917,126,22,32,126,17.46,26,23,18,11.98,3.04,61.1,31.9,13.3,74.6,no,probable_cause,law_enforcement,1,not_authorized,0,0,mandatory_all,1,3.0,1,99,0.15,1,0,0,1,"Blood, Urine, and Breath",0,0.08,1.0,no,,,no,,no,0
11,DC,District of Columbia,South,South Atlantic,702250,47,2,14,47,4.26,29,9,19,6.69,1.99,47.4,21.3,9.5,53.8,no,probable_cause,law_enforcement,1,not_authorized,0,1,mandatory_all,1,,0,15,0.2,1,1,0,1,"Blood, Urine, and Breath",0,0.08,0.0,yes,all_dui_arrest,mandatory,yes,repeat_conviction,no,1
12,FL,Florida,South,South Atlantic,23372215,3138,205,769,3138,6.53,24,519,17,13.43,3.29,36.0,21.5,12.1,98.1,no,probable_cause,law_enforcement,1,active,1,0,mandatory_high_bac_repeat,0,3.0,1,5,0.15,1,1,0,1,"Blood, Urine, and Breath",1,0.08,0.0,yes,repeat_conviction,mandatory,yes,repeat_conviction,no,1
13,GA,Georgia,South,South Atlantic,11180878,1403,186,325,1403,13.26,23,211,15,12.55,2.91,43.4,27.2,14.1,98.0,no,probable_cause,law_enforcement,1,authorized,0,1,mandatory_repeat,0,4.0,1,10,0.15,1,1,0,1,"Blood, Urine, and Breath",0,0.08,0.0,no,,,yes,repeat_conviction,yes,0
15,HI,Hawaii,West,Pacific,1446146,102,21,34,102,20.59,34,21,21,7.05,2.35,80.4,48.5,31.8,95.4,yes,all_fatally_injured,coroner,1,not_authorized,0,1,mandatory_all,1,3.0,1,10,0.15,1,1,0,1,"Blood, Urine, and Breath",1,0.08,0.0,no,,,no,,no,0
16,ID,Idaho,West,Mountain,2001619,238,58,72,238,24.37,30,48,20,11.89,3.6,51.6,39.8,24.5,82.3,yes,all_fatally_injured,coroner,0,active,1,0,mandatory_all,1,3.0,1,10,0.2,1,1,0,1,"Blood, Urine",0,0.08,1.0,no,,,no,,no,0
